all_spec,Freq,prop_events
American Goldfinch,5,0.1282051282051282
American Robin,1,0.02564102564102564
Black-capped Chickadee,1,0.02564102564102564
Cassin's Finch,1,0.02564102564102564
Chestnut-backed Chickadee,1,0.02564102564102564
Common Redpoll,1,0.02564102564102564
Dark-eyed Junco,1,0.02564102564102564
Evening Grosbeak,9,0.23076923076923078
House Finch,5,0.1282051282051282
House Sparrow,6,0.15384615384615385
Lesser Goldfinch,2,0.05128205128205128
Pine Siskin,29,0.7435897435897436
Purple Finch,2,0.05128205128205128
Rufous-sided (Eastern) Towhee,1,0.02564102564102564
Song Sparrow,1,0.02564102564102564
Unidentified Cowbird,1,0.02564102564102564
Unidentified Finch,4,0.10256410256410256
Unidentified Grosbeak,1,0.02564102564102564
Unidentified Passerine,4,0.10256410256410256
Unidentified Sparrow,1,0.02564102564102564
Western Bluebird,1,0.02564102564102564
